1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
47.000000,53.000000,  nan,12.402000,-8.519821,-14.381200,-4.268300,-1055.330000,  nan,66.899800,1.298890,1.996360,1.511510,201.620000
49.000000,53.000000,  nan,-13.986000,-8.933201,-14.888000,-4.009400,-933.030000,  nan,67.859100,1.284590,2.023730,1.402330,188.161000
51.000000,53.000000,  nan,-48.327000,-8.939929,-14.122200,-3.727000,-848.120000,  nan,66.044300,1.190420,1.734240,1.291770,179.758000
53.000000,53.000000,-0.015153,-89.301000,-8.738573,-13.758200,-3.183300,-734.030000,0.113033,61.185500,1.054030,1.560640,1.129250,163.066000
55.000000,53.000000,-0.079012,-113.291000,-8.614784,-13.773000,-2.646400,-676.526000,0.125836,57.705900,0.957104,1.502970,1.019980,151.478000
57.000000,53.000000,-0.192392,-142.085000,-8.711360,-14.050300,-2.183200,-646.566000,0.133169,59.068800,1.067170,1.631000,1.167890,174.965000
59.000000,53.000000,-0.277845,-166.759000,-9.146283,-14.451600,-2.094400,-544.466000,0.185289,63.911300,1.260640,1.836650,1.409810,128.547000
61.000000,53.000000,-0.351183,-174.550000,-9.708020,-14.858700,-2.131700,-488.053000,0.226643,68.632700,1.428890,2.018280,1.610490,147.388000
63.000000,53.000000,-0.452575,-184.233000,-10.486704,-15.423400,-2.264500,-416.148000,0.242882,65.633700,1.538610,2.120010,1.773860,160.407000
65.000000,53.000000,-0.502730,-176.870000,-11.412625,-16.128500,-2.413700,-382.653000,0.265107,64.938900,1.723310,2.258300,2.023190,176.702000
67.000000,53.000000,  nan,-164.258000,-12.760149,-17.180200,-2.688500,-343.445000,  nan,62.837500,1.822750,2.252830,2.541320,152.236000
19.000000,55.000000,-0.011136,  nan,  nan,  nan,  nan,  nan,0.001389,  nan,  nan,  nan,  nan,  nan
21.000000,55.000000,-0.012107,  nan,  nan,  nan,  nan,  nan,0.001056,  nan,  nan,  nan,  nan,  nan
23.000000,55.000000,-0.012391,  nan,  nan,  nan,  nan,  nan,0.002473,  nan,  nan,  nan,  nan,  nan
27.000000,55.000000,-0.032699,-66.535000,-5.285363,  nan,-4.222600,-1929.150000,0.012389,76.158600,1.344440,  nan,2.000200,490.719000
29.000000,55.000000,-0.015996,-55.582000,-7.105905,-7.075600,-7.425900,-2188.780000,0.026122,110.542000,1.452270,1.543930,1.816290,414.277000
31.000000,55.000000,-0.042092,-69.506800,-7.162511,-6.941530,-7.999000,-2211.010000,0.005342,81.191800,1.330890,1.386260,1.794560,383.028000
33.000000,55.000000,-0.051018,-73.534670,-6.918986,-6.777086,-7.769400,-2174.050000,0.000700,74.046700,1.254490,1.311150,1.767460,362.924000
35.000000,55.000000,-0.053291,-76.986300,-6.739889,-6.967560,-7.200700,-2059.850000,0.005406,74.748100,1.220340,1.277370,1.735180,353.838000
37.000000,55.000000,-0.062895,-85.750200,-6.520857,-7.726250,-6.129000,-1419.440000,0.015952,82.859300,1.219780,1.363460,1.682630,287.742000
39.000000,55.000000,  nan,-49.323000,-6.382199,-8.185790,-5.348500,-1498.190000,  nan,77.210200,1.190020,1.391110,1.592630,276.824000
41.000000,55.000000,  nan,-14.769000,-6.371251,-8.807030,-4.848200,-1314.720000,  nan,70.111200,1.141320,1.379580,1.506350,260.115000
43.000000,55.000000,  nan,6.053000,-6.752279,-9.944000,-4.789300,-1143.820000,  nan,66.684600,1.131470,1.469520,1.515640,219.984000
45.000000,55.000000,  nan,7.899000,-7.315482,-11.551200,-4.484600,-1085.830000,  nan,65.825900,1.208500,1.654650,1.573090,203.741000
47.000000,55.000000,  nan,-2.163000,-7.998590,-13.246700,-4.202300,-978.670000,  nan,68.318900,1.309910,1.978730,1.571540,207.191000
49.000000,55.000000,  nan,-28.626000,-8.310320,-13.113800,-4.050700,-866.290000,  nan,68.788900,1.255010,1.823170,1.406300,191.030000
51.000000,55.000000,  nan,-58.588000,-8.376881,-12.936100,-3.574000,-779.220000,  nan,66.177100,1.152140,1.637110,1.252350,176.458000
53.000000,55.000000,-0.065434,-101.184000,-8.216072,-12.751100,-3.038800,-705.070000,0.099413,58.841400,0.959904,1.450400,1.017920,148.430000
55.000000,55.000000,-0.109538,-117.846000,-8.231384,-12.995900,-2.587100,-661.735000,0.112666,53.072100,0.801097,1.380060,0.825580,121.765000
57.000000,55.000000,-0.200110,-146.641000,-8.519516,-13.509600,-2.424500,-599.410000,0.137682,54.049400,0.979806,1.561500,1.044130,94.757400
59.000000,55.000000,-0.264029,-163.393000,-9.006894,-13.922200,-2.405700,-576.317000,0.181111,61.224300,1.219010,1.776180,1.352870,123.948000
61.000000,55.000000,-0.320967,-169.544000,-9.537012,-14.272800,-2.488000,-478.377000,0.233781,66.066300,1.385590,1.959380,1.539640,141.965000
63.000000,55.000000,-0.450631,-184.163000,-10.193273,-14.720900,-2.513300,-422.982000,0.238818,60.540800,1.457850,2.031300,1.648730,150.181000
65.000000,55.000000,-0.457468,-166.636000,-10.931159,-15.241000,-2.503700,-380.408000,0.265736,62.416100,1.591580,2.135410,1.801890,159.958000
67.000000,55.000000,-0.532758,-154.317000,-11.994001,-16.154200,-2.287900,-295.903000,0.266989,59.182700,1.655020,2.106270,2.236420,134.165000
19.000000,57.000000,-0.020125,  nan,  nan,  nan,  nan,  nan,0.002808,  nan,  nan,  nan,  nan,  nan
21.000000,57.000000,-0.012589,  nan,  nan,  nan,  nan,  nan,0.002356,  nan,  nan,  nan,  nan,  nan
23.000000,57.000000,-0.016933,  nan,  nan,  nan,  nan,  nan,0.017059,  nan,  nan,  nan,  nan,  nan
27.000000,57.000000,-0.030831,  nan,  nan,  nan,  nan,  nan,0.008140,  nan,  nan,  nan,  nan,  nan
29.000000,57.000000,0.003926,-29.909000,-6.602351,  nan,-7.026000,-1827.200000,0.033851,124.648000,1.435020,  nan,1.851470,334.589000
31.000000,57.000000,-0.028551,-55.473700,-6.540767,-6.066020,-7.438800,-2366.720000,0.008658,79.866300,1.319310,1.328260,1.819340,447.298000
33.000000,57.000000,-0.044885,-67.402600,-6.413874,-6.105777,-7.276100,-2013.520000,0.004270,77.707900,1.269870,1.281570,1.792680,369.630000
35.000000,57.000000,-0.041302,-67.308100,-6.412355,-6.496320,-7.024400,-1892.940000,0.012649,81.430900,1.253070,1.302670,1.765430,361.799000
37.000000,57.000000,-0.033851,-71.020000,-6.482120,-7.330700,-6.556900,-1304.650000,0.032083,84.426600,1.273860,1.383450,1.759250,264.033000
39.000000,57.000000,  nan,-37.830000,-6.340570,-7.658910,-5.835000,-1556.940000,  nan,74.105300,1.207240,1.379310,1.672850,277.963000
41.000000,57.000000,  nan,-8.820000,-6.313191,-8.259580,-5.247700,-1333.440000,  nan,69.780600,1.171080,1.343330,1.597490,270.369000
43.000000,57.000000,  nan,4.472000,-6.661615,-9.493200,-5.029400,-1172.480000,  nan,68.846500,1.182180,1.417770,1.674430,242.919000
45.000000,57.000000,  nan,2.529000,-7.181186,-11.029000,-4.733500,-1079.830000,  nan,69.563900,1.238950,1.575700,1.737870,222.242000
47.000000,57.000000,  nan,-10.667000,-7.649329,-11.932400,-4.472100,-956.980000,  nan,71.903800,1.282300,1.792950,1.574090,210.226000
49.000000,57.000000,  nan,-37.031000,-7.918395,-12.043400,-4.043000,-808.890000,  nan,69.587200,1.259280,1.737040,1.418680,194.902000
51.000000,57.000000,  nan,-66.372000,-7.989158,-12.018900,-3.559000,-745.960000,  nan,66.421100,1.136900,1.567170,1.231770,176.494000
53.000000,57.000000,  nan,-111.886000,-7.807781,-11.909600,-2.996900,-665.799000,  nan,57.363200,0.910719,1.375100,0.961703,107.806000
55.000000,57.000000,-0.167539,-133.857000,-7.898011,-12.246300,-2.600800,-648.111000,0.093721,47.841900,0.678820,1.268120,0.688677,75.937800
57.000000,57.000000,-0.198748,-146.172000,-8.402926,-13.033200,-2.682700,-597.049000,0.133892,51.811200,0.924444,1.497130,0.981434,89.190600
59.000000,57.000000,-0.262867,-166.161000,-8.969953,-13.491900,-2.864100,-526.020000,0.180457,57.467200,1.176730,1.710840,1.294520,119.418000
61.000000,57.000000,-0.341795,-179.100000,-9.460851,-13.781000,-2.974900,-458.822000,0.217599,59.681800,1.334710,1.885770,1.462760,135.793000
63.000000,57.000000,-0.387174,-176.988000,-9.933068,-14.005100,-2.867700,-380.820000,0.255886,57.329600,1.364800,1.928170,1.518420,139.393000
65.000000,57.000000,-0.547316,-181.725000,-10.414045,-14.278200,-2.714800,-370.774000,0.240296,55.507100,1.417100,1.957250,1.573760,141.841000
67.000000,57.000000,-0.412722,-132.183000,-11.221884,-15.096800,-2.057800,-264.147000,0.266273,56.336900,1.477250,1.949020,1.925020,115.897000
27.000000,59.000000,-0.025559,  nan,  nan,  nan,  nan,  nan,0.006607,  nan,  nan,  nan,  nan,  nan
29.000000,59.000000,-0.020176,  nan,  nan,  nan,  nan,  nan,0.005557,  nan,  nan,  nan,  nan,  nan
31.000000,59.000000,-0.019463,-38.336000,-6.062037,  nan,-6.897500,-2120.890000,0.006818,72.666800,1.329880,  nan,1.850330,414.777000
33.000000,59.000000,-0.009031,-37.598000,-6.236731,-5.986400,-7.018400,-1669.970000,0.019922,84.958100,1.340970,1.354060,1.878370,317.105000
35.000000,59.000000,0.026075,-9.783000,-6.446935,-6.630860,-7.067800,-1574.890000,0.041011,106.425000,1.359040,1.452860,1.894470,314.974000
37.000000,59.000000,  nan,-33.628000,-6.295995,-6.881910,-6.540200,-1700.900000,  nan,91.515800,1.339880,1.413710,1.871270,312.422000
39.000000,59.000000,  nan,-20.654000,-6.201297,-7.279860,-5.895000,-1532.250000,  nan,66.905700,1.251540,1.373430,1.768330,291.028000
41.000000,59.000000,  nan,-8.599500,-6.247112,-7.968280,-5.379100,-1321.640000,  nan,70.697800,1.242740,1.375490,1.717220,290.658000
43.000000,59.000000,  nan,0.737000,-6.578325,-9.128500,-5.090000,-1191.720000,  nan,70.640600,1.255630,1.365770,1.864650,271.405000
45.000000,59.000000,  nan,-2.298000,-7.274122,-11.003900,-4.819300,-1139.770000,  nan,72.190300,1.348470,1.600760,2.022820,252.626000
47.000000,59.000000,  nan,-13.388000,-7.434070,-11.302600,-4.505000,-953.620000,  nan,73.696300,1.286080,1.744830,1.604210,213.573000
49.000000,59.000000,  nan,-34.136000,-7.677273,-11.365900,-4.080100,-842.050000,  nan,71.797100,1.265670,1.688580,1.417810,197.587000
51.000000,59.000000,  nan,-61.452000,-7.851937,-11.538600,-3.704600,-750.940000,  nan,67.425700,1.153970,1.556570,1.233960,180.689000
53.000000,59.000000,  nan,-83.229000,-7.854104,-11.574200,-3.374700,-729.533000,  nan,58.433900,0.948349,1.400090,0.997889,149.431000
55.000000,59.000000,-0.036329,-104.245000,-7.961102,-11.887600,-3.064100,-697.082000,0.122793,49.244600,0.770289,1.307410,0.807801,89.983700
57.000000,59.000000,-0.094892,-120.075000,-8.432035,-12.652400,-3.070500,-648.710000,0.136987,50.906100,0.921154,1.455030,0.995717,90.297300
59.000000,59.000000,-0.050400,-108.925000,-9.061005,-13.166600,-3.453000,-601.902000,0.191000,60.197300,1.143740,1.674060,1.257050,116.052000
61.000000,59.000000,-0.047715,-114.301000,-9.452284,-13.285200,-3.569700,-515.810000,0.253534,63.382700,1.274570,1.812930,1.375470,128.482000
63.000000,59.000000,-0.038198,-108.874000,-9.726389,-13.228200,-3.383200,-443.312000,0.296116,61.105800,1.254890,1.809820,1.368830,126.486000
65.000000,59.000000,-0.308874,-145.709000,-9.998663,-13.250000,-3.167290,-129.185900,0.358206,59.113800,1.210470,1.733300,1.335170,41.390400
67.000000,59.000000,-0.242874,-105.160000,-10.640448,-13.966700,-2.408600,-242.915000,0.280849,53.914300,1.303360,1.790060,1.632480,99.798700
27.000000,61.000000,-0.018193,  nan,  nan,  nan,  nan,  nan,0.011752,  nan,  nan,  nan,  nan,  nan
29.000000,61.000000,-0.009134,  nan,  nan,  nan,  nan,  nan,0.009764,  nan,  nan,  nan,  nan,  nan
31.000000,61.000000,-0.019104,  nan,  nan,  nan,  nan,-1983.550000,0.002968,  nan,  nan,  nan,  nan,417.313000
33.000000,61.000000,-0.014334,-35.561000,  nan,  nan,  nan,  nan,0.014168,81.807200,  nan,  nan,  nan,  nan
35.000000,61.000000,  nan,-18.399000,-5.948788,  nan,-6.487400,-1584.680000,  nan,89.363100,1.365390,  nan,1.901820,314.719000
37.000000,61.000000,  nan,-35.797000,-5.841066,-6.462600,-5.984400,-1629.510000,  nan,76.145400,1.333260,1.422140,1.841370,343.120000
39.000000,61.000000,  nan,-22.367300,-5.945874,-7.021170,-5.589700,-1482.330000,  nan,75.458700,1.299760,1.414310,1.776060,303.975000
41.000000,61.000000,  nan,-10.724000,-6.080702,-7.690550,-5.305600,-1312.770000,  nan,73.560300,1.291900,1.430960,1.758060,300.811000
43.000000,61.000000,  nan,-2.174000,-6.421705,-8.713300,-5.114100,-1199.650000,  nan,71.048700,1.288000,1.416820,1.838290,304.366000
45.000000,61.000000,  nan,-5.852000,-7.058134,-10.187800,-5.019600,-1163.400000,  nan,72.326900,1.338470,1.528680,1.969310,292.282000
47.000000,61.000000,  nan,-13.309000,-7.310704,-10.741200,-4.714800,-1034.910000,  nan,73.072300,1.309830,1.716190,1.604910,218.334000
49.000000,61.000000,  nan,-31.796000,-7.515898,-10.989400,-4.083600,-881.050000,  nan,70.744600,1.276610,1.667370,1.398490,199.330000
51.000000,61.000000,  nan,-54.902000,-7.793973,-11.284500,-3.766500,-784.790000,  nan,68.585800,1.184520,1.555170,1.238860,186.082000
53.000000,61.000000,  nan,-67.510000,-8.009636,-11.628800,-3.601300,-776.050000,  nan,61.326900,1.010170,1.427030,1.037670,161.366000
55.000000,61.000000,-0.011250,-79.631000,-8.280225,-12.130500,-3.485400,-771.779000,0.101133,52.216000,0.871555,1.354730,0.892806,102.029000
57.000000,61.000000,-0.032362,-92.275000,-8.757922,-12.894700,-3.494000,-740.965000,0.117952,50.988100,0.935874,1.461660,0.971934,90.286000
59.000000,61.000000,  nan,-80.376000,-9.351876,-13.399600,-3.790900,-674.783000,  nan,56.575400,1.099180,1.645780,1.159780,108.411000
61.000000,61.000000,  nan,-83.410000,-9.637059,-13.345700,-3.876700,-582.489000,  nan,57.451100,1.207550,1.757830,1.251500,118.289000
63.000000,61.000000,-0.020596,-91.512000,-9.726496,-12.978600,-3.702000,-473.283000,0.214205,52.462600,1.145700,1.697770,1.171590,110.629000
65.000000,61.000000,-0.231148,-127.475000,-9.749295,-12.564500,-3.449000,-398.045000,0.220729,46.079400,1.012840,1.537120,1.030830,63.238200
67.000000,61.000000,-0.261286,-103.180000,-10.090086,-12.950400,-2.624600,-251.909000,0.232380,46.234300,1.102730,1.607690,1.306560,81.980800
69.000000,61.000000,-0.364007,-90.928000,-10.971515,-14.803600,-0.525500,  nan,0.287348,50.562700,1.509290,1.859500,2.241800,  nan
27.000000,63.000000,-0.013860,  nan,  nan,  nan,  nan,  nan,0.008357,  nan,  nan,  nan,  nan,  nan
29.000000,63.000000,-0.004774,  nan,  nan,  nan,  nan,-1913.780000,0.003846,  nan,  nan,  nan,  nan,423.653000
31.000000,63.000000,-0.015821,  nan,  nan,  nan,  nan,-1835.920000,0.004627,  nan,  nan,  nan,  nan,398.352000
37.000000,63.000000,  nan,-44.841000,-5.464677,  nan,-5.688800,-1519.850000,  nan,86.485800,1.342290,  nan,1.839040,384.583000
39.000000,63.000000,  nan,-23.653000,-5.634590,-6.536300,-5.439300,-1452.130000,  nan,79.113600,1.335730,1.386450,1.799960,348.541000
41.000000,63.000000,  nan,-13.884000,-5.890947,-7.338030,-5.278200,-1301.670000,  nan,76.618300,1.324150,1.458500,1.778220,308.368000
43.000000,63.000000,  nan,-6.321000,-6.239765,-8.341200,-5.186100,-1182.480000,  nan,72.719400,1.314420,1.516830,1.772380,303.027000
45.000000,63.000000,  nan,-9.135000,-6.677843,-9.367800,-5.077200,-1136.970000,  nan,72.496600,1.337670,1.612660,1.764110,273.444000
47.000000,63.000000,  nan,-18.743000,-7.074038,-10.056900,-4.807000,-1042.380000,  nan,72.553400,1.330580,1.662910,1.625190,224.049000
49.000000,63.000000,  nan,-34.660000,-7.384256,-10.536500,-4.210300,-937.940000,  nan,72.155500,1.292340,1.623180,1.414930,203.904000
51.000000,63.000000,  nan,-53.768000,-7.787761,-11.082200,-3.913800,-857.470000,  nan,68.997800,1.218850,1.548940,1.261270,192.884000
53.000000,63.000000,  nan,-69.516000,-8.153601,-11.631900,-3.825000,-818.700000,  nan,61.920500,1.064260,1.427700,1.088120,173.073000
55.000000,63.000000,  nan,-69.093000,-8.588283,-12.331700,-3.864700,-804.093000,  nan,54.362300,0.925421,1.357540,0.945039,108.922000
57.000000,63.000000,0.023097,-72.410000,-9.051654,-13.070800,-3.828500,-767.372000,0.111290,50.956400,0.910099,1.408050,0.905768,86.164700
59.000000,63.000000,  nan,-64.221000,-9.624004,-13.536800,-4.143400,-726.964000,  nan,53.243200,1.015930,1.548800,1.028240,97.218000
61.000000,63.000000,  nan,-60.687000,-9.808637,-13.341500,-4.167400,-617.768000,  nan,54.848200,1.120810,1.669940,1.121260,106.866000
63.000000,63.000000,0.086330,-67.799000,-9.721297,-12.735500,-3.921300,-508.219000,0.199792,49.236500,1.043770,1.602320,1.015520,97.075000
65.000000,63.000000,-0.018758,-78.908000,-9.531049,-11.964300,-3.598000,-400.741000,0.178932,39.928000,0.830268,1.387910,0.722781,47.036100
67.000000,63.000000,-0.292190,-99.706000,-9.583797,-12.037600,-2.647500,-242.829000,0.184238,40.387900,0.900269,1.431760,0.987863,64.784800
69.000000,63.000000,-0.335015,-81.574000,-10.171792,-13.701600,-0.352000,-78.118000,0.254803,48.780400,1.381140,1.749950,2.012540,124.135000
27.000000,65.000000,-0.017420,  nan,  nan,  nan,  nan,  nan,0.013189,  nan,  nan,  nan,  nan,  nan
29.000000,65.000000,-0.009975,  nan,  nan,  nan,  nan,-1867.010000,0.007339,  nan,  nan,  nan,  nan,421.451000
35.000000,65.000000,  nan,  nan,  nan,  nan,  nan,-666.096300,  nan,  nan,  nan,  nan,  nan,64.486200
39.000000,65.000000,  nan,-35.192000,-5.305763,  nan,-5.327700,-1417.290000,  nan,88.790400,1.403960,  nan,1.867230,370.462000
41.000000,65.000000,  nan,-24.502000,-5.650134,-6.936650,-5.254700,-1345.840000,  nan,83.152100,1.347360,1.449030,1.800530,314.755000
43.000000,65.000000,  nan,-11.793000,-6.066268,-8.004300,-5.185100,-1179.620000,  nan,74.205100,1.333610,1.529260,1.788570,306.326000
45.000000,65.000000,  nan,-14.415000,-6.489177,-8.910600,-5.106400,-1117.160000,  nan,73.124000,1.346150,1.612440,1.752610,272.188000
47.000000,65.000000,  nan,-28.919000,-6.865093,-9.449700,-4.881600,-990.950000,  nan,72.992100,1.341230,1.625670,1.632280,225.389000
49.000000,65.000000,  nan,-44.449000,-7.219688,-9.914900,-4.412800,-954.110000,  nan,72.729300,1.313640,1.569660,1.452640,209.578000
51.000000,65.000000,  nan,-64.772000,-7.724471,-10.701800,-4.125900,-870.040000,  nan,68.283600,1.244620,1.515010,1.289560,199.163000
53.000000,65.000000,  nan,-78.958000,-8.213816,-11.433300,-4.025900,-844.812000,  nan,61.146800,1.091190,1.393590,1.126080,180.764000
55.000000,65.000000,  nan,-76.943000,-8.785800,-12.268100,-4.218300,-839.372000,  nan,52.569700,0.920791,1.296370,0.936993,108.255000
57.000000,65.000000,0.027720,-75.544000,-9.368404,-13.154600,-4.350400,-817.187000,0.101889,46.285000,0.831508,1.299660,0.807917,77.206200
59.000000,65.000000,0.100584,-63.751000,-9.850950,-13.531400,-4.553700,-755.916000,0.133070,47.022300,0.886188,1.400490,0.856226,81.709400
61.000000,65.000000,0.150519,-60.847000,-9.930115,-13.205000,-4.497200,-653.798000,0.182911,49.461300,1.021790,1.548380,0.992297,95.191400
63.000000,65.000000,0.156216,-60.775000,-9.681574,-12.446800,-4.120000,-515.821000,0.205178,46.036200,0.975087,1.522520,0.926249,89.272300
65.000000,65.000000,0.135245,-48.947000,-9.294136,-11.475100,-3.528300,-402.451000,0.175252,38.045800,0.696581,1.287900,0.509384,36.222700
67.000000,65.000000,-0.239477,-88.218000,-9.082903,-11.203400,-2.563040,-141.454200,0.191700,36.059900,0.756808,1.294490,0.762870,23.648300
69.000000,65.000000,-0.304373,-66.925000,-9.478004,-12.733100,0.050200,-44.493000,0.208473,47.021000,1.294440,1.682280,1.829410,114.315000
33.000000,67.000000,  nan,  nan,  nan,  nan,  nan,-1441.130000,  nan,  nan,  nan,  nan,  nan,344.155000
39.000000,67.000000,  nan,  nan,  nan,  nan,  nan,-471.999400,  nan,  nan,  nan,  nan,  nan,57.598800
41.000000,67.000000,  nan,-39.367000,-5.289248,  nan,-4.977000,-1347.320000,  nan,89.502400,1.377930,  nan,1.807200,317.765000
43.000000,67.000000,  nan,-26.439000,-5.833544,-7.531000,-5.114700,-1186.350000,  nan,81.650000,1.371220,1.513060,1.800600,315.082000
45.000000,67.000000,  nan,-23.880000,-6.298703,-8.525100,-5.033200,-1110.920000,  nan,74.595200,1.345490,1.600740,1.714060,268.876000
47.000000,67.000000,  nan,-37.729000,-6.676499,-8.937200,-4.904600,-982.980000,  nan,72.837900,1.342700,1.609500,1.626720,223.858000
49.000000,67.000000,  nan,-52.596000,-7.111046,-9.261500,-4.732700,-853.930000,  nan,71.022300,1.329630,1.519990,1.524260,217.368000
51.000000,67.000000,  nan,-75.659000,-7.653836,-10.183700,-4.411500,-840.100000,  nan,67.261100,1.251180,1.472130,1.328800,204.138000
53.000000,67.000000,  nan,-91.636000,-8.206191,-11.069700,-4.295200,-825.497000,  nan,60.255000,1.089770,1.343310,1.145800,131.305000
55.000000,67.000000,-0.044909,-83.420000,-8.929269,-12.087300,-4.573900,-874.823000,0.071849,50.004900,0.872509,1.221950,0.878972,101.486000
57.000000,67.000000,0.030832,-82.774000,-9.582449,-13.069600,-4.751700,-827.770000,0.092824,39.711200,0.690667,1.152050,0.615438,59.424600
59.000000,67.000000,0.097486,-70.617000,-9.996055,-13.390800,-4.878000,-778.497000,0.117010,40.268600,0.716724,1.231910,0.629793,60.546400
61.000000,67.000000,0.133796,-66.036000,-9.938258,-12.928100,-4.705800,-680.094000,0.169495,45.750300,0.930573,1.438730,0.885239,85.379000
63.000000,67.000000,0.105783,-74.438000,-9.548430,-12.091600,-4.271900,-522.863000,0.201102,43.505900,0.958874,1.474070,0.914047,57.822400
65.000000,67.000000,0.032767,-65.584000,-9.006082,-11.010500,-3.581200,-366.998000,0.172257,36.909100,0.762672,1.299770,0.664369,44.462000
67.000000,67.000000,-0.195213,-73.428000,-8.610222,-10.450200,-2.437000,-202.847000,0.158316,34.777200,0.757912,1.270030,0.788643,55.514300
71.000000,67.000000,  nan,-63.081000,-9.618096,-13.596600,1.812600,  nan,  nan,55.756000,1.915900,1.971180,3.333990,  nan
35.000000,69.000000,  nan,  nan,  nan,  nan,  nan,-757.442900,  nan,  nan,  nan,  nan,  nan,137.544000
41.000000,69.000000,  nan,-78.782000,-5.204959,  nan,-4.949700,-1044.530000,  nan,89.716200,1.392360,  nan,1.751770,283.497000
43.000000,69.000000,  nan,-49.765000,-5.535886,-6.837000,-4.931300,-1009.310000,  nan,88.010700,1.374200,1.464380,1.763800,279.602000
